Year;Month;Tmax;Tmin;AF;Rain;Sun;status;Date;Tmean
1912;1;7.9;3.0;6.0;96.4;34.4;;1912-01-01;5.45
1912;2;9.2;4.2;4.0;68.1;50.6;;1912-02-01;6.699999999999999
1912;3;11.6;5.2;0.0;107.9;93.6;;1912-03-01;8.4
1912;4;15.5;4.9;1.0;1.7;248.9;;1912-04-01;10.2
1912;5;17.7;9.2;0.0;33.9;170.0;;1912-05-01;13.45
1912;6;18.1;10.7;0.0;111.3;196.8;;1912-06-01;14.4
1912;7;21.3;13.3;0.0;81.6;160.7;;1912-07-01;17.3
1912;8;17.3;10.6;0.0;157.0;99.9;;1912-08-01;13.95
1912;9;16.2;8.6;0.0;61.3;135.8;;1912-09-01;12.4
1912;10;13.8;4.7;2.0;93.5;118.1;;1912-10-01;9.25
1912;11;9.9;4.4;3.0;40.6;33.1;;1912-11-01;7.15
1912;12;10.6;5.6;2.0;94.2;31.8;;1912-12-01;8.1
